"feature with direction by activity and by subject" "feature with direction" "activity" "subject" "average of means" "average of standard deviations"
"magnitude of acceleration of gravity none standing 17" "magnitude of acceleration of gravity in direction none" "standing" "17" "-0.977635981410256" "-0.975377309871795"
"magnitude of acceleration of gravity none standing 18" "magnitude of acceleration of gravity in direction none" "standing" "18" "-0.972607495342466" "-0.972285545479452"
"magnitude of acceleration of gravity none standing 19" "magnitude of acceleration of gravity in direction none" "standing" "19" "-0.960505683561644" "-0.962549342465753"
"magnitude of acceleration of gravity none standing 20" "magnitude of acceleration of gravity in direction none" "standing" "20" "-0.92240685739726" "-0.910672094794521"
"magnitude of acceleration of gravity none standing 21" "magnitude of acceleration of gravity in direction none" "standing" "21" "-0.958774298089888" "-0.956919898202247"
"magnitude of acceleration of gravity none standing 22" "magnitude of acceleration of gravity in direction none" "standing" "22" "-0.954807661269841" "-0.939866315079365"
"magnitude of acceleration of gravity none standing 23" "magnitude of acceleration of gravity in direction none" "standing" "23" "-0.957212267058824" "-0.9516698575"
"magnitude of acceleration of gravity none standing 24" "magnitude of acceleration of gravity in direction none" "standing" "24" "-0.950061017681159" "-0.94790101173913"
"magnitude of acceleration of gravity none standing 25" "magnitude of acceleration of gravity in direction none" "standing" "25" "-0.972663592162162" "-0.968075629324324"
"magnitude of acceleration of gravity none standing 26" "magnitude of acceleration of gravity in direction none" "standing" "26" "-0.968511694324324" "-0.962697299189189"
"magnitude of acceleration of gravity none standing 27" "magnitude of acceleration of gravity in direction none" "standing" "27" "-0.972753287375" "-0.9663601145"
"magnitude of acceleration of gravity none standing 28" "magnitude of acceleration of gravity in direction none" "standing" "28" "-0.92547165164557" "-0.917658334177215"
"magnitude of acceleration of gravity none standing 29" "magnitude of acceleration of gravity in direction none" "standing" "29" "-0.984745318923077" "-0.981745712923077"
"magnitude of acceleration of gravity none standing 30" "magnitude of acceleration of gravity in direction none" "standing" "30" "-0.930573574915254" "-0.916570441355932"
"magnitude of acceleration of gravity none walking 1" "magnitude of acceleration of gravity in direction none" "walking" "1" "-0.136971176556842" "-0.219688645631579"
"magnitude of acceleration of gravity none walking 2" "magnitude of acceleration of gravity in direction none" "walking" "2" "-0.290407593728814" "-0.422544169322034"
"magnitude of acceleration of gravity none walking 3" "magnitude of acceleration of gravity in direction none" "walking" "3" "-0.254690333275862" "-0.328428936551724"
"magnitude of acceleration of gravity none walking 4" "magnitude of acceleration of gravity in direction none" "walking" "4" "-0.312050574166667" "-0.527679103166667"
"magnitude of acceleration of gravity none walking 5" "magnitude of acceleration of gravity in direction none" "walking" "5" "-0.158338674394643" "-0.377178733392857"
"magnitude of acceleration of gravity none walking 6" "magnitude of acceleration of gravity in direction none" "walking" "6" "-0.166840713631579" "-0.266734167368421"
"magnitude of acceleration of gravity none walking 7" "magnitude of acceleration of gravity in direction none" "walking" "7" "-0.0978090439438596" "-0.198554708385965"
"magnitude of acceleration of gravity none walking 8" "magnitude of acceleration of gravity in direction none" "walking" "8" "0.0516786278104167" "-0.1804072826"
"magnitude of acceleration of gravity none walking 9" "magnitude of acceleration of gravity in direction none" "walking" "9" "-0.0980840496143461" "-0.37942877"
"magnitude of acceleration of gravity none walking 10" "magnitude of acceleration of gravity in direction none" "walking" "10" "-0.127400912069811" "-0.185602396067925"
"magnitude of acceleration of gravity none walking 11" "magnitude of acceleration of gravity in direction none" "walking" "11" "-0.288323472033898" "-0.487735915084746"
"magnitude of acceleration of gravity none walking 12" "magnitude of acceleration of gravity in direction none" "walking" "12" "-0.102204550448" "-0.23697286882"
"magnitude of acceleration of gravity none walking 13" "magnitude of acceleration of gravity in direction none" "walking" "13" "-0.135643867842105" "-0.292546377017544"
"magnitude of acceleration of gravity none walking 14" "magnitude of acceleration of gravity in direction none" "walking" "14" "-0.144404671779661" "-0.36380562779661"
"magnitude of acceleration of gravity none walking 15" "magnitude of acceleration of gravity in direction none" "walking" "15" "-0.186514650759259" "-0.323878324074074"
"magnitude of acceleration of gravity none walking 16" "magnitude of acceleration of gravity in direction none" "walking" "16" "-0.258766694117647" "-0.47180926745098"
"magnitude of acceleration of gravity none walking 17" "magnitude of acceleration of gravity in direction none" "walking" "17" "-0.151151487704918" "-0.461837866885246"
"magnitude of acceleration of gravity none walking 18" "magnitude of acceleration of gravity in direction none" "walking" "18" "-0.287908078035714" "-0.460346465357143"
"magnitude of acceleration of gravity none walking 19" "magnitude of acceleration of gravity in direction none" "walking" "19" "0.0648173438653846" "-0.0993927171359615"
"magnitude of acceleration of gravity none walking 20" "magnitude of acceleration of gravity in direction none" "walking" "20" "0.039402280578902" "-0.156930391921569"
"magnitude of acceleration of gravity none walking 21" "magnitude of acceleration of gravity in direction none" "walking" "21" "-0.123455661519231" "-0.299709752173077"
"magnitude of acceleration of gravity none walking 22" "magnitude of acceleration of gravity in direction none" "walking" "22" "0.0722419121669565" "-0.161591787478261"
"magnitude of acceleration of gravity none walking 23" "magnitude of acceleration of gravity in direction none" "walking" "23" "-0.0988770198220339" "-0.209989354570847"
"magnitude of acceleration of gravity none walking 24" "magnitude of acceleration of gravity in direction none" "walking" "24" "-0.299983613965517" "-0.48106401862069"
"magnitude of acceleration of gravity none walking 25" "magnitude of acceleration of gravity in direction none" "walking" "25" "-0.40528943" "-0.565601466081081"
"magnitude of acceleration of gravity none walking 26" "magnitude of acceleration of gravity in direction none" "walking" "26" "-0.223399171830508" "-0.421848313898305"
"magnitude of acceleration of gravity none walking 27" "magnitude of acceleration of gravity in direction none" "walking" "27" "-0.238853875263158" "-0.407355787017544"
"magnitude of acceleration of gravity none walking 28" "magnitude of acceleration of gravity in direction none" "walking" "28" "-0.1806660203" "-0.39269402"
"magnitude of acceleration of gravity none walking 29" "magnitude of acceleration of gravity in direction none" "walking" "29" "-0.0955213393716981" "-0.262695063584906"
"magnitude of acceleration of gravity none walking 30" "magnitude of acceleration of gravity in direction none" "walking" "30" "-0.195140032969231" "-0.359873411538462"
"magnitude of acceleration of gravity none walkingdownstairs 1" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "1" "0.0271882914106122" "0.0198843506265306"
"magnitude of acceleration of gravity none walkingdownstairs 2" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "2" "0.0899511204978723" "0.215586334889362"
"magnitude of acceleration of gravity none walkingdownstairs 3" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "3" "-0.0628126118283674" "-0.0411340078469388"
"magnitude of acceleration of gravity none walkingdownstairs 4" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "4" "-0.0491616726733333" "-0.0819559041111111"
"magnitude of acceleration of gravity none walkingdownstairs 5" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "5" "0.211138853638298" "0.205422375957447"
"magnitude of acceleration of gravity none walkingdownstairs 6" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "6" "0.333754731458333" "0.373611914166667"
"magnitude of acceleration of gravity none walkingdownstairs 7" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "7" "0.0198795285851064" "0.214544028088723"
"magnitude of acceleration of gravity none walkingdownstairs 8" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "8" "0.176599311818421" "0.131337867236842"
"magnitude of acceleration of gravity none walkingdownstairs 9" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "9" "0.145886357935714" "0.265120131365238"
"magnitude of acceleration of gravity none walkingdownstairs 10" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "10" "0.250843769394737" "0.156998205421053"
"magnitude of acceleration of gravity none walkingdownstairs 11" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "11" "0.126227657258696" "0.0507743652521739"
"magnitude of acceleration of gravity none walkingdownstairs 12" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "12" "0.0183139429630435" "0.0972608274652174"
"magnitude of acceleration of gravity none walkingdownstairs 13" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "13" "-0.0294634299553191" "-0.0156098198829787"
"magnitude of acceleration of gravity none walkingdownstairs 14" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "14" "0.185537706866667" "0.428405922622222"
"magnitude of acceleration of gravity none walkingdownstairs 15" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "15" "0.320449387166667" "0.353204008095238"
"magnitude of acceleration of gravity none walkingdownstairs 16" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "16" "0.191079793587447" "0.119183740638298"
"magnitude of acceleration of gravity none walkingdownstairs 17" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "17" "0.148951103536087" "0.0914076757326087"
"magnitude of acceleration of gravity none walkingdownstairs 18" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "18" "-0.293531973636364" "-0.229934247036364"
"magnitude of acceleration of gravity none walkingdownstairs 19" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "19" "0.644604325128205" "0.413472376589744"
"magnitude of acceleration of gravity none walkingdownstairs 20" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "20" "0.221851587933333" "0.172636361444444"
"magnitude of acceleration of gravity none walkingdownstairs 21" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "21" "0.245771699004444" "0.264341903711111"
"magnitude of acceleration of gravity none walkingdownstairs 22" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "22" "0.330999221944444" "0.133267478527222"
"magnitude of acceleration of gravity none walkingdownstairs 23" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "23" "0.127211137694444" "0.230363964351852"
"magnitude of acceleration of gravity none walkingdownstairs 24" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "24" "-0.0737699163072727" "-0.0224839122854545"
"magnitude of acceleration of gravity none walkingdownstairs 25" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "25" "-0.22010859462069" "-0.259465249913793"
"magnitude of acceleration of gravity none walkingdownstairs 26" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "26" "0.114379383742" "0.14700167906"
"magnitude of acceleration of gravity none walkingdownstairs 27" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "27" "0.108071382861364" "0.121176277863636"
"magnitude of acceleration of gravity none walkingdownstairs 28" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "28" "0.104359216580435" "0.135465563932609"
"magnitude of acceleration of gravity none walkingdownstairs 29" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "29" "0.103705165666667" "0.1344811501875"
"magnitude of acceleration of gravity none walkingdownstairs 30" "magnitude of acceleration of gravity in direction none" "walkingdownstairs" "30" "-0.0373901122469355" "-0.0135771208822581"
"magnitude of acceleration of gravity none walkingupstairs 1" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "1" "-0.129927630735849" "-0.324970929245283"
"magnitude of acceleration of gravity none walkingupstairs 2" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "2" "-0.107322679520833" "-0.205977045295833"
"magnitude of acceleration of gravity none walkingupstairs 3" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "3" "-0.184014895" "-0.333597432542373"
"magnitude of acceleration of gravity none walkingupstairs 4" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "4" "-0.153703935357692" "-0.212012300480769"
"magnitude of acceleration of gravity none walkingupstairs 5" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "5" "0.0435562021989362" "-0.136736383765957"
"magnitude of acceleration of gravity none walkingupstairs 6" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "6" "0.0177790974433333" "-0.0791508842176471"
"magnitude of acceleration of gravity none walkingupstairs 7" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "7" "-0.198074437978431" "-0.33474460745098"
"magnitude of acceleration of gravity none walkingupstairs 8" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "8" "0.121026629195122" "-0.227200254219512"
"magnitude of acceleration of gravity none walkingupstairs 9" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "9" "-0.260727581428571" "-0.400222037142857"
"magnitude of acceleration of gravity none walkingupstairs 10" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "10" "-0.0266623294757447" "-0.211537480214383"
"magnitude of acceleration of gravity none walkingupstairs 11" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "11" "-0.132594623759259" "-0.289592148148148"
"magnitude of acceleration of gravity none walkingupstairs 12" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "12" "-0.229183927115385" "-0.285844036153846"
"magnitude of acceleration of gravity none walkingupstairs 13" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "13" "-0.10115350174" "-0.326339622181818"
"magnitude of acceleration of gravity none walkingupstairs 14" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "14" "0.140108204051852" "-0.0197686685018519"
"magnitude of acceleration of gravity none walkingupstairs 15" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "15" "-0.000971394711666667" "-0.136552217494583"
"magnitude of acceleration of gravity none walkingupstairs 16" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "16" "-0.233990331568627" "-0.334795080196078"
"magnitude of acceleration of gravity none walkingupstairs 17" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "17" "-0.0128062276916667" "-0.1028777303875"
"magnitude of acceleration of gravity none walkingupstairs 18" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "18" "-0.279146312758621" "-0.37184157"
"magnitude of acceleration of gravity none walkingupstairs 19" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "19" "0.01738119347275" "-0.177666828025"
"magnitude of acceleration of gravity none walkingupstairs 20" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "20" "0.00872502461176471" "-0.198269718823529"
"magnitude of acceleration of gravity none walkingupstairs 21" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "21" "-0.0810453188106383" "-0.278474283829787"
"magnitude of acceleration of gravity none walkingupstairs 22" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "22" "0.210282608333333" "-0.158757474833333"
"magnitude of acceleration of gravity none walkingupstairs 23" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "23" "-0.0117536873784314" "-0.271893714117647"
"magnitude of acceleration of gravity none walkingupstairs 24" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "24" "-0.226402822033898" "-0.30685447"
"magnitude of acceleration of gravity none walkingupstairs 25" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "25" "-0.305772199076923" "-0.480006649846154"
"magnitude of acceleration of gravity none walkingupstairs 26" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "26" "-0.142874499381818" "-0.1507071068"
"magnitude of acceleration of gravity none walkingupstairs 27" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "27" "-0.160589355980392" "-0.37994878627451"
"magnitude of acceleration of gravity none walkingupstairs 28" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "28" "-0.186240503960784" "-0.211928666470588"
"magnitude of acceleration of gravity none walkingupstairs 29" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "29" "0.00834360271428571" "-0.0414696051693878"
"magnitude of acceleration of gravity none walkingupstairs 30" "magnitude of acceleration of gravity in direction none" "walkingupstairs" "30" "-0.137627857227385" "-0.327410815861538"
"magnitude of angular velocity of body none laying 1" "magnitude of angular velocity of body in direction none" "laying" "1" "-0.874759548" "-0.81901016976"
"magnitude of angular velocity of body none laying 2" "magnitude of angular velocity of body in direction none" "laying" "2" "-0.950011569583333" "-0.961164053958333"
"magnitude of angular velocity of body none laying 3" "magnitude of angular velocity of body in direction none" "laying" "3" "-0.951564751451613" "-0.954275110967742"
"magnitude of angular velocity of body none laying 4" "magnitude of angular velocity of body in direction none" "laying" "4" "-0.930236462592593" "-0.947031781666667"
"magnitude of angular velocity of body none laying 5" "magnitude of angular velocity of body in direction none" "laying" "5" "-0.946938300576923" "-0.958287921923077"
"magnitude of angular velocity of body none laying 6" "magnitude of angular velocity of body in direction none" "laying" "6" "-0.908980174736842" "-0.920914497017544"
"magnitude of angular velocity of body none laying 7" "magnitude of angular velocity of body in direction none" "laying" "7" "-0.915793634807692" "-0.918662459038462"
"magnitude of angular velocity of body none laying 8" "magnitude of angular velocity of body in direction none" "laying" "8" "-0.924253348518518" "-0.932470764444444"
"magnitude of angular velocity of body none laying 9" "magnitude of angular velocity of body in direction none" "laying" "9" "-0.9071250998" "-0.8985578738"
"magnitude of angular velocity of body none laying 10" "magnitude of angular velocity of body in direction none" "laying" "10" "-0.937590998793103" "-0.927471165517241"
"magnitude of angular velocity of body none laying 11" "magnitude of angular velocity of body in direction none" "laying" "11" "-0.952523752105263" "-0.954713182807018"
"magnitude of angular velocity of body none laying 12" "magnitude of angular velocity of body in direction none" "laying" "12" "-0.9308405935" "-0.935725715833333"
"magnitude of angular velocity of body none laying 13" "magnitude of angular velocity of body in direction none" "laying" "13" "-0.944303111935484" "-0.944687480967742"
"magnitude of angular velocity of body none laying 14" "magnitude of angular velocity of body in direction none" "laying" "14" "-0.904665418431373" "-0.913433185882353"
"magnitude of angular velocity of body none laying 15" "magnitude of angular velocity of body in direction none" "laying" "15" "-0.944605127222222" "-0.924043007638889"
"magnitude of angular velocity of body none laying 16" "magnitude of angular velocity of body in direction none" "laying" "16" "-0.951777099571429" "-0.959020036285714"
"magnitude of angular velocity of body none laying 17" "magnitude of angular velocity of body in direction none" "laying" "17" "-0.960733121690141" "-0.959325498732394"
"magnitude of angular velocity of body none laying 18" "magnitude of angular velocity of body in direction none" "laying" "18" "-0.980740846769231" "-0.980560877846154"
"magnitude of angular velocity of body none laying 19" "magnitude of angular velocity of body in direction none" "laying" "19" "-0.953263432771084" "-0.955906646506024"
"magnitude of angular velocity of body none laying 20" "magnitude of angular velocity of body in direction none" "laying" "20" "-0.9604473725" "-0.962153597941176"
"magnitude of angular velocity of body none laying 21" "magnitude of angular velocity of body in direction none" "laying" "21" "-0.949278890222222" "-0.949289148"
"magnitude of angular velocity of body none laying 22" "magnitude of angular velocity of body in direction none" "laying" "22" "-0.926616373333333" "-0.923911565972222"
"magnitude of angular velocity of body none laying 23" "magnitude of angular velocity of body in direction none" "laying" "23" "-0.949418000972222" "-0.957227585972222"
"magnitude of angular velocity of body none laying 24" "magnitude of angular velocity of body in direction none" "laying" "24" "-0.953791512638889" "-0.957829934722222"
"magnitude of angular velocity of body none laying 25" "magnitude of angular velocity of body in direction none" "laying" "25" "-0.809688545342466" "-0.856017369726027"
"magnitude of angular velocity of body none laying 26" "magnitude of angular velocity of body in direction none" "laying" "26" "-0.951863594736842" "-0.965676821973684"
"magnitude of angular velocity of body none laying 27" "magnitude of angular velocity of body in direction none" "laying" "27" "-0.966917594459459" "-0.971915732837838"
"magnitude of angular velocity of body none laying 28" "magnitude of angular velocity of body in direction none" "laying" "28" "-0.93710692125" "-0.928940913375"
"magnitude of angular velocity of body none laying 29" "magnitude of angular velocity of body in direction none" "laying" "29" "-0.971923623043478" "-0.977040093043478"
"magnitude of angular velocity of body none laying 30" "magnitude of angular velocity of body in direction none" "laying" "30" "-0.962284921142857" "-0.951264441"
"magnitude of angular velocity of body none sitting 1" "magnitude of angular velocity of body in direction none" "sitting" "1" "-0.93089249" "-0.934531840425532"
"magnitude of angular velocity of body none sitting 2" "magnitude of angular velocity of body in direction none" "sitting" "2" "-0.946035087173913" "-0.961313624130435"
"magnitude of angular velocity of body none sitting 3" "magnitude of angular velocity of body in direction none" "sitting" "3" "-0.919354372307692" "-0.925518103807692"
"magnitude of angular velocity of body none sitting 4" "magnitude of angular velocity of body in direction none" "sitting" "4" "-0.9260633138" "-0.928898293"
"magnitude of angular velocity of body none sitting 5" "magnitude of angular velocity of body in direction none" "sitting" "5" "-0.934301646590909" "-0.931414810454545"
"magnitude of angular velocity of body none sitting 6" "magnitude of angular velocity of body in direction none" "sitting" "6" "-0.932703812181818" "-0.921259472727273"
"magnitude of angular velocity of body none sitting 7" "magnitude of angular velocity of body in direction none" "sitting" "7" "-0.897870535" "-0.898063314375"
"magnitude of angular velocity of body none sitting 8" "magnitude of angular velocity of body in direction none" "sitting" "8" "-0.93268224326087" "-0.953001632173913"
"magnitude of angular velocity of body none sitting 9" "magnitude of angular velocity of body in direction none" "sitting" "9" "-0.9032355368" "-0.9066063206"
"magnitude of angular velocity of body none sitting 10" "magnitude of angular velocity of body in direction none" "sitting" "10" "-0.944202043703704" "-0.963064577592593"
"magnitude of angular velocity of body none sitting 11" "magnitude of angular velocity of body in direction none" "sitting" "11" "-0.951884472075472" "-0.959964488301887"
"magnitude of angular velocity of body none sitting 12" "magnitude of angular velocity of body in direction none" "sitting" "12" "-0.941907240784314" "-0.946769241568627"
"magnitude of angular velocity of body none sitting 13" "magnitude of angular velocity of body in direction none" "sitting" "13" "-0.951142644081633" "-0.963940591428571"
"magnitude of angular velocity of body none sitting 14" "magnitude of angular velocity of body in direction none" "sitting" "14" "-0.942756369259259" "-0.947081158333333"
"magnitude of angular velocity of body none sitting 15" "magnitude of angular velocity of body in direction none" "sitting" "15" "-0.957331628305085" "-0.963475074915254"
"magnitude of angular velocity of body none sitting 16" "magnitude of angular velocity of body in direction none" "sitting" "16" "-0.946417382463768" "-0.937942404637681"
"magnitude of angular velocity of body none sitting 17" "magnitude of angular velocity of body in direction none" "sitting" "17" "-0.967177744375" "-0.97541025484375"
"magnitude of angular velocity of body none sitting 18" "magnitude of angular velocity of body in direction none" "sitting" "18" "-0.977634992105263" "-0.981372675614035"
"magnitude of angular velocity of body none sitting 19" "magnitude of angular velocity of body in direction none" "sitting" "19" "-0.942229043835616" "-0.950491807945205"
"magnitude of angular velocity of body none sitting 20" "magnitude of angular velocity of body in direction none" "sitting" "20" "-0.939574435606061" "-0.941069909848485"
"magnitude of angular velocity of body none sitting 21" "magnitude of angular velocity of body in direction none" "sitting" "21" "-0.964971113764706" "-0.971225061647059"
"magnitude of angular velocity of body none sitting 22" "magnitude of angular velocity of body in direction none" "sitting" "22" "-0.942077432741935" "-0.933268487096774"
"magnitude of angular velocity of body none sitting 23" "magnitude of angular velocity of body in direction none" "sitting" "23" "-0.936593426911765" "-0.937006097352941"
"magnitude of angular velocity of body none sitting 24" "magnitude of angular velocity of body in direction none" "sitting" "24" "-0.964633252352941" "-0.969257162647059"
"magnitude of angular velocity of body none sitting 25" "magnitude of angular velocity of body in direction none" "sitting" "25" "-0.966568718615385" "-0.970639125692308"
"magnitude of angular velocity of body none sitting 26" "magnitude of angular velocity of body in direction none" "sitting" "26" "-0.954052945897436" "-0.964742022307692"
"magnitude of angular velocity of body none sitting 27" "magnitude of angular velocity of body in direction none" "sitting" "27" "-0.963565474" "-0.970782132714286"
"magnitude of angular velocity of body none sitting 28" "magnitude of angular velocity of body in direction none" "sitting" "28" "-0.955175567083333" "-0.951065984027778"
"magnitude of angular velocity of body none sitting 29" "magnitude of angular velocity of body in direction none" "sitting" "29" "-0.962377332166667" "-0.971578024666667"
"magnitude of angular velocity of body none sitting 30" "magnitude of angular velocity of body in direction none" "sitting" "30" "-0.955847323870968" "-0.960641288225806"
"magnitude of angular velocity of body none standing 1" "magnitude of angular velocity of body in direction none" "standing" "1" "-0.976493792830189" "-0.978690028679245"
"magnitude of angular velocity of body none standing 2" "magnitude of angular velocity of body in direction none" "standing" "2" "-0.963466341851852" "-0.95394338037037"
"magnitude of angular velocity of body none standing 3" "magnitude of angular velocity of body in direction none" "standing" "3" "-0.892089349344262" "-0.88212522147541"
"magnitude of angular velocity of body none standing 4" "magnitude of angular velocity of body in direction none" "standing" "4" "-0.900982100535714" "-0.885144317678571"
"magnitude of angular velocity of body none standing 5" "magnitude of angular velocity of body in direction none" "standing" "5" "-0.900671630714286" "-0.867041711785714"
"magnitude of angular velocity of body none standing 6" "magnitude of angular velocity of body in direction none" "standing" "6" "-0.939404744385965" "-0.915891572982456"
"magnitude of angular velocity of body none standing 7" "magnitude of angular velocity of body in direction none" "standing" "7" "-0.943425564528302" "-0.918438958867924"
"magnitude of angular velocity of body none standing 8" "magnitude of angular velocity of body in direction none" "standing" "8" "-0.952848496851852" "-0.95322478962963"
"magnitude of angular velocity of body none standing 9" "magnitude of angular velocity of body in direction none" "standing" "9" "-0.921030223111111" "-0.908291403111111"
"magnitude of angular velocity of body none standing 10" "magnitude of angular velocity of body in direction none" "standing" "10" "-0.929787259772727" "-0.920486810227273"
"magnitude of angular velocity of body none standing 11" "magnitude of angular velocity of body in direction none" "standing" "11" "-0.979978011489362" "-0.977071437446808"
"magnitude of angular velocity of body none standing 12" "magnitude of angular velocity of body in direction none" "standing" "12" "-0.888101372786885" "-0.852271618032787"
"magnitude of angular velocity of body none standing 13" "magnitude of angular velocity of body in direction none" "standing" "13" "-0.95782537245614" "-0.944980198421053"
"magnitude of angular velocity of body none standing 14" "magnitude of angular velocity of body in direction none" "standing" "14" "-0.943530016833333" "-0.931426203833333"
"magnitude of angular velocity of body none standing 15" "magnitude of angular velocity of body in direction none" "standing" "15" "-0.946961381132076" "-0.931286778679245"
"magnitude of angular velocity of body none standing 16" "magnitude of angular velocity of body in direction none" "standing" "16" "-0.972528178205128" "-0.964105768461539"
"magnitude of angular velocity of body none standing 17" "magnitude of angular velocity of body in direction none" "standing" "17" "-0.978184576538462" "-0.977680837435897"
"magnitude of angular velocity of body none standing 18" "magnitude of angular velocity of body in direction none" "standing" "18" "-0.963006793150685" "-0.959797118082192"
"magnitude of angular velocity of body none standing 19" "magnitude of angular velocity of body in direction none" "standing" "19" "-0.94174504109589" "-0.937951031506849"
"magnitude of angular velocity of body none standing 20" "magnitude of angular velocity of body in direction none" "standing" "20" "-0.883675028630137" "-0.843683410273973"
"magnitude of angular velocity of body none standing 21" "magnitude of angular velocity of body in direction none" "standing" "21" "-0.949837151797753" "-0.945614401797753"
"magnitude of angular velocity of body none standing 22" "magnitude of angular velocity of body in direction none" "standing" "22" "-0.931624303968254" "-0.900776555555556"
"magnitude of angular velocity of body none standing 23" "magnitude of angular velocity of body in direction none" "standing" "23" "-0.938430293382353" "-0.923796565588235"
"magnitude of angular velocity of body none standing 24" "magnitude of angular velocity of body in direction none" "standing" "24" "-0.954518594057971" "-0.95310477884058"
"magnitude of angular velocity of body none standing 25" "magnitude of angular velocity of body in direction none" "standing" "25" "-0.967077442837838" "-0.959884274324324"
"magnitude of angular velocity of body none standing 26" "magnitude of angular velocity of body in direction none" "standing" "26" "-0.968673955540541" "-0.962653585540541"
"magnitude of angular velocity of body none standing 27" "magnitude of angular velocity of body in direction none" "standing" "27" "-0.968702956625" "-0.965693334"
"magnitude of angular velocity of body none standing 28" "magnitude of angular velocity of body in direction none" "standing" "28" "-0.894242469620253" "-0.876917545696203"
"magnitude of angular velocity of body none standing 29" "magnitude of angular velocity of body in direction none" "standing" "29" "-0.980657340461539" "-0.975358665384615"
"magnitude of angular velocity of body none standing 30" "magnitude of angular velocity of body in direction none" "standing" "30" "-0.913890564915254" "-0.887247636779661"
"magnitude of angular velocity of body none walking 1" "magnitude of angular velocity of body in direction none" "walking" "1" "-0.160979552536842" "-0.186978364526316"
"magnitude of angular velocity of body none walking 2" "magnitude of angular velocity of body in direction none" "walking" "2" "-0.446549092881356" "-0.553019916271186"
"magnitude of angular velocity of body none walking 3" "magnitude of angular velocity of body in direction none" "walking" "3" "-0.466411754137931" "-0.561510683275862"
"magnitude of angular velocity of body none walking 4" "magnitude of angular velocity of body in direction none" "walking" "4" "-0.49779220106" "-0.553116111166667"
"magnitude of angular velocity of body none walking 5" "magnitude of angular velocity of body in direction none" "walking" "5" "-0.355933083571429" "-0.492176823571429"
"magnitude of angular velocity of body none walking 6" "magnitude of angular velocity of body in direction none" "walking" "6" "-0.281207841122807" "-0.36560291677193"
"magnitude of angular velocity of body none walking 7" "magnitude of angular velocity of body in direction none" "walking" "7" "-0.305959351403509" "-0.19828316695614"
